"bic_de","name","zip","city","code","bic","country:id"
"10000000","Bundesbank","10591","Berlin","BBk Berlin","MARKDEF1100","base.de"
"10010010","Postbank","10916","Berlin","Postbank Berlin","PBNKDEFF100","base.de"
"10010111","SEB","10789","Berlin","SEB Berlin","ESSEDE5F100","base.de"
"10010222","The Royal Bank of Scotland, Niederlassung Deutschland","10105","Berlin","RBS NDL Deutschland","ABNADEFFBER","base.de"
"10010424","Aareal Bank","10666","Berlin","Aareal Bank","AARBDE5W100","base.de"
"10019610","Dexia Kommunalbank Deutschland","10969","Berlin","Dexia Berlin","DXIADEBBXXX","base.de"
"10020200","BHF-BANK","10117","Berlin","BHF-BANK Berlin","BHFBDEFF100","base.de"
"10020400","Citadele Bank Zndl Deutschland","80331","München","Citadele Bank München","PARXDEBBXXX","base.de"
"10020500","Bank für Sozialwirtschaft","10178","Berlin","Bank für Sozialwirtschaft","BFSWDE33BER","base.de"
"10020890","UniCredit Bank - HypoVereinsbank","15517","Fürstenwalde /Spree","UniCredit Bank-HypoVereinbk","HYVEDEMM070","base.de"
"10020890","UniCredit Bank - HypoVereinsbank","15711","Königs Wusterhausen","UniCredit Bank-HypoVereinbk","HYVEDEMM108","base.de"
"10020890","UniCredit Bank - HypoVereinsbank","14532","Kleinmachnow","UniCredit Bank-HypoVereinbk","HYVEDEMM124","base.de"
"10020890","UniCredit Bank - HypoVereinsbank","14776","Brandenburg an der Havel","UniCredit Bank-HypoVereinbk","HYVEDEMM161","base.de"
"10020890","UniCredit Bank - HypoVereinsbank","16515","Oranienburg","UniCredit Bank-HypoVereinbk","HYVEDEMM165","base.de"
"10020890","UniCredit Bank - HypoVereinsbank","10896","Berlin","UniCredit Bank-HypoVereinbk","HYVEDEMM488","base.de"
"10030200","Berlin-Hannoversche Hypothekenbank","10773","Berlin","Berlin Hyp","BHYPDEB1XXX","base.de"
"10030400","ABK-Kreditbank","10115","Berlin","ABK-Kreditbank Berlin","ABKBDEB1XXX","base.de"
"10030500","Bankhaus Löbbecke","10117","Berlin","Bankhaus Löbbecke Berlin","LOEBDEBBXXX","base.de"
"10030600","North Channel Bank","55118","Mainz a Rhein","North Channel Bank Mainz","GENODEF1OGK","base.de"
"10030700","Gries & Heissel - Bankiers","65189","Wiesbaden","Gries & Heissel Wiesbaden","DLGHDEB1XXX","base.de"
"10040000","Commerzbank Berlin (West)","10891","Berlin","Commerzbank -West- Berlin","COBADEBBXXX","base.de"
"10040048","Commerzbank GF-B48","10891","Berlin","Commerzbank BER GF-B48","COBADEFF910","base.de"
"10040060","Commerzbank Gf 160","10891","Berlin","Commerzbank Gf 160 Berlin","COBADEFF060","base.de"
"10040061","Commerzbank Gf 161","10891","Berlin","Commerzbank Gf 161 Berlin","COBADEFF061","base.de"
"10040062","Commerzbank CC","10783","Berlin","Commerzbank CC Berlin","COBADEFF102","base.de"
"10040063","Commerzbank CC","10783","Berlin","Commerzbank CC Berlin","COBADEFF103","base.de"
"10045050","Commerzbank Service-BZ","10785","Berlin","Commerzbank Service-BZ","COBADEFFBZB","base.de"
"10050000","Landesbank Berlin - Berliner Sparkasse","10889","Berlin","Landesbank - Berliner Spk","BELADEBEXXX","base.de"
"10050001","Landesbank Berlin","10889","Berlin","Landesbank Berlin","BELADEBE001","base.de"
"10050005","Landesbank Berlin - E 1 -","10889","Berlin","Landesbank Berlin - E 1 -","BELADEB1DB5","base.de"
"10050006","Landesbank Berlin - E 2 -","10889","Berlin","Landesbank Berlin - E 2 -","BELADEB1DB6","base.de"
"10050007","Landesbank Berlin - E 3 -","10889","Berlin","Landesbank Berlin - E 3 -","BELADEB1DB7","base.de"
"10050008","Landesbank Berlin - E 4 -","10889","Berlin","Landesbank Berlin - E 4 -","BELADEB1DB8","base.de"
